ownerUsername,likesCount,commentsCount,caption,hashtags,url,firstComment,alt,timestamp,engagement_rate,caption_len,hashtags_list
shanefanx,7600,299,"I chose to make this video because Dear NY was genuinely one of the most beautiful and impressive things I’ve seen in the city. @humansofny pulled off something I didn’t think was possible. To put its scale in perspective:

- The MET sees about ~5.7M visitors per year
- MoMA about ~2.7M annual visitors 
- Statue of Liberty ~4.2M annual visitors 

And Dear New York passed them all in foot traffic, in less than two weeks!

Props to Brandon and the team for creating a moment that’ll live on in New York’s history.

#newyork #nyc #grandcentralstation","['newyork', 'nyc', 'grandcentralstation']",https://www.instagram.com/p/DQCCLkcjWW5/,Holy unemployed 😭,,2025-10-20 12:55:57+00:00,7.899000000000001,551,"['#newyork', '#nyc', '#grandcentralstation']"
powerhousearena,2139,175,"Exciting news! 

Following the installation at @grandcentralnyc Brandon Stanton will be at Powerhouse Arena, celebrating the book launch of DEAR NEW YORK, on 10/27/25 at 7pm

RSVP today 
link in bio",[],https://www.instagram.com/p/DP9uoPikq2L/,مرّ عليّ وقت طويل وما في أي نتيجة… الحذر واجب,"Photo by POWERHOUSE Arena in powerHouse Arena with @stmartinspress, @humansofny, @grandcentralnyc, and @dumbo_brooklyn. May be an image of ‎magazine, poster and ‎text that says '‎BOOK LAUNCH: BRANDON STANTON CREATOR OF ""HUMANS OF NEW YORK"" FOR ""DEAR NEW YORK,' い3 AT POWERHOUSE ARENA お町 0 7PM 27 ክማ DEAR הבשר NEW YORK, RSVP POWERHOUSEARENA.COM 28ADAMS 8ADAMSST. ST. BROOKLYN,N NY 11201 ROOKLY DEAR NEW NEWYORK, YORK, BRANDON BRANDONSTANTON STANTON CREATOR CHATOHOYHUMANSOFNEWYORK OF HUMANS OF NEW YORK‎'‎‎.",2025-10-18 20:46:44+00:00,2.314,198,[]
humansofny,248329,3831,"A few years ago I received a DM from @zohrankmamdani. Only recently did I discover its existence. It was a very unusual DM—especially coming from a local assemblyman who would soon be running for higher office. He had very little name recognition at the time, and could have benefited from publicity. But unlike the thousands of messages I’ve received from people with something to promote, Zohran did not ask to be featured on Humans of New York. Instead he asked if he could introduce me to taxi drivers that were struggling beneath the burden of debt. Coming from a man with political ambitions, this self-denying request was so strange as to be almost singular. I don’t endorse politicians on Humans of New York. But I’ll endorse a good man. And it was a good man who cleared 30 minutes from his schedule yesterday to swing by Grand Central to visit Dear New York. Nearly fifty student artists were visiting that day with their families, and I thought a surprise visit from this widely-loved future mayor would be a special memory for all of them. Before Zohran’s arrival I was convinced I’d made a terrible mistake. The Vanderbilt Hall exhibit was filled to capacity with adult visitors. Dear New York is self-funded so there was very little staff and security for crowd control. In the crush of people I was almost certain this special day for the kids would devolve into thirty minutes of selfie requests. But everyone rose to the occasion. Hundreds of adults quickly cleared the room and stood outside the exhibit. Eleven very notable adult artists are also featured in the exhibition, but even they took a step back, so that these students could briefly have the stage to themselves. Each child stood by their work and Zohran was able to meet all of them, one at a time, and honor their contributions to the most-visited art show in New York City. Thanks to everyone who ceded the stage yesterday to make this moment possible. Thank you Zohran for literally sitting down on the floor so that these young artists could feel so tall. Thank you for continually centering other people in your life and work. And thank you, for being such an important part of Dear New York.",[],https://www.instagram.com/p/DPwJzEVDbwC/,💙💙,"Photo shared by Humans of New York on October 13, 2025 tagging @zohrankmamdani. May be an image of one or more people, people standing, crowd and text that says 'BUSES ẢND AXI'.",2025-10-13 14:14:46+00:00,252.16,2178,[]
humansofny,11986,124,"Dear New York closes in four short days. It has been an absolutely magical and historic two weeks. But it is not yet a finished work. Dear New York is an immersive art installation by people, for people, and about people. Everyone who visits Grand Central Station becomes part of it. With the crowds seeming to grow 20% each passing day, the work continues to grow more and more meaningful. Come join us this weekend as Dear New York reaches full bloom. When you arrive you will find a Grand Central completely cleared of advertising. If you come by subway, you’ll enter through an immersive installation covering all three levels of Grand Central subway station, designed by @trabuccocampos and his team at @pentagramdesign. You’ll then emerge into an iconic main concourse which has been completely transformed with light projections into a showcase of NYC’s humanity. For the first time in history, the main concourse has also been transformed by two weeks of musical programming performed by the celebrated students and alumni of @juilliardschool . After taking in a performance, be sure to swing by Vanderbilt Hall to experience the most-visited, most-talked-about art exhibit in town, designed by the legendary @davidkorins , and featuring the work of eleven highly notable NYC photographers alongside the work of 600 school-aged student artists—every participant given the same museum-quality printing and framing by @pictonewyork .  At 8 PM on Sunday night, there will be a short closing ceremony featuring a performance by a 200-strong chorus from @ypcofnyc. Afterwards Dear New York will go dark forever. It is incredibly tragic that it must die so soon. But also, that’s the reason it’s so alive.",[],https://www.instagram.com/p/DP4S9ROjl3X/,"In your country, everyone has the same law, but here, only politicians have different laws, that's why our people come to your country.",,2025-10-16 18:12:10+00:00,12.11,1707,[]
humansofny,318108,6311,"We’ve lost a legend. Stephanie ‘Tanqueray’ Johnson passed away last night after suffering a severe stroke. She will be most remembered for holding the world in thrall with her no-holds-barred storytelling about life as a burlesque dancer in the 1970’s. Stephanie was a complicated person. Her public persona was irresistibly charismatic. Yet behind the scenes I’ve rarely met somebody who had such difficulty with close relationships. She was internationally adored, yet intensely lonely. She was desirous of companionship, yet quick to cut people out of her life over the smallest slights. Stephanie told me endless stories about how badly her mother treated her as a child, yet remained capable of exhibiting that same behavior toward others. People are complicated. And the longer you live, the more you realize the most inexcusable behavior often stems from the saddest traumas. There was always a little girl inside of Stephanie who never had a chance to feel safe. A little girl who learned at a young age that the best way to keep from getting hurt was to throw the first punch. But this little girl also had such a love of life. And despite her X-rated stories, and her sharp edges, was capable of such innocence. Stephanie slept with a teddy bear until the day she died. She’d melt in the presence of animals and babies. And until the very end, she laughed like a little girl. In the final weeks of her life all the hard edges melted away. All the defense mechanisms, the learned responses. She reverted back to the little girl she’d been before she’d gotten hurt. And that is the Stephanie that is smiling down on us right now. In her own words: ‘When I get to heaven I hope God shows me a movie of my life. But just the funny parts. Not the in-between parts, cause then we’d both start crying. Underneath all the laughs and the gags, it was always about one thing: survival. Tanqueray was a lot of fun. But Tanqueray was Stephanie. And Stephanie was a teenage runaway from Albany: doing what she needed to do, and being who she needed to be, to get what she needed to get.” I love ya, Steph. Thanks for taking me, and all of us, on the greatest ride of our lives.",[],https://www.instagram.com/p/DPuicxejcd3/,💐🙏🏾,"Photo by Humans of New York on October 12, 2025. May be an image of one or more people, fur coat, costume and text.",2025-10-12 23:11:42+00:00,324.41900000000004,2174,[]
humansofny,46246,479,"“I’ve decided to go back to school today; I was just accepted into college, and I made the decision to enroll. I happened to be wearing my Coney Island shirt, so I decided to come out here and sit by the water. I used to come out here all the time. For many years I was in an extremely difficult marriage. I’d never say anything hurtful about my ex-wife, because there’s still a lot of love there— but there were times when I had to get away. And this is where I’d go. I ended up leaving the marriage right before the pandemic. I had to completely start over. I went from having my own apartment, and having all the things you’re supposed to have, to sleeping on a mattress on the floor. I never stopped teaching my voice and music lessons. I was still expanding, still growing. But I went through a lot of hardship. There was so much responsibility on me. My mother is 94; she has dementia. I was taking care of her too. For the longest time I’ve never had any room for something going on in my own life. So this is a very big thing for me—going back to school. I’m going to major in social work because I’d like to introduce a therapy element to my voice lessons. If I’m being honest, part of the reason is I need more clients. I’m not somebody who has a big retirement saved. I’m turning 65 soon and I’m no longer very competitive in an ageist music world. So money is part of it. But also, voice lessons are such a wonderful tool for self-actualization. I’ve noticed when people are learning to sing, they come up against so many things that are holding them back. They’ll meet with embarrassment. They’ll meet their inner critic. They’ll have moments where they think: that’s too loud, that’s too shrill. But they have to push past it. Because In order to fill the room, you first need a sense of being worthy enough to express yourself. You can’t say: I’m going to sing like this person. No, you’re going to sound like you. There are tools you can learn to sound like the best version of you, but you will sound like you. And it’s such a privilege to be present when people discover that for the first time: you can sing just like yourself, and it can be beautiful.”",[],https://www.instagram.com/p/DQHcr3MDRpE/,أنصح بالتأكد جيداً قبل أي تعامل… أنا خسرت مالي ولم أستفد شيئاً,"Photo by Humans of New York on October 22, 2025. May be an image of headscarf and text.",2025-10-22 15:22:20+00:00,46.725,2172,[]
humansofny,22538,170,"Last night someone asked me what part of Dear New York I’m proudest of; this was hard to answer. But I can tell you what’s filled my heart the most. Many in the press are calling it ‘The Children’s Exhibit,’ because Dear New York’s Vanderbilt Hall features the work of six hundred NYC student artists. Each student was asked to photograph and write about someone who has made a difference in their lives. Some of these artists are as young as four, and their photography might not be the most technically polished, but there is a striking intimacy that can only come from photographing someone you love. The written profiles which accompany the photographs are extremely touching, and collectively represent the millions of invisible, unsung heroes that form the bedrock of NYC’s community. It’s not the mayors and the movie stars that form the heart of this city. It’s the mothers, the fathers, the teachers, the social workers, and the millions of other people who show up every day in the lives of others. One reason the ‘Children’s Exhibit’ lands so deeply is that its amplified by a sister exhibition featuring eleven highly notable NYC photographers. Among them are living legends such as @jamelshabazz , a trailblazer in street portraiture. As well as Gugenheim Fellow @sarabennettbrooklyn , a former public defender who profiles formerly-incarcerated women. The two exhibits are blended seamlessly in an innovative, immersive design by @davidkorins . The most beautiful part of these blended exhibits is that all 611 artists— young and old, beginning and established— have been given the same museum-quality framing and presentation. The result is an egalitarian, non-hierarchical ode to the diversity, humanity, and community of this city.  The exhibit has been overflowing all week, from open to close, and I’m not sure I’ve ever seen an art installation elicit so much emotion. Dear New York closes on Sunday. For everyone who attends the final Sunday, you will be able to meet all eleven featured professional artists, who will be there to greet visitors between 2 pm and 5 pm.",[],https://www.instagram.com/p/DP6-xnlkSRe/,😍😍😍❤️,"Photo by Humans of New York on October 17, 2025. May be an image of child, standing and text.",2025-10-17 19:10:06+00:00,22.708000000000002,2089,[]
humansofny,15054,257,"How does a two-week art installation about community grow into something like this? I think it’s because people are tired of ‘connecting’ through screens. Nobody wants to live in a metaverse, whatever the hell that is. We don’t want to become passive consumers of songs that ‘seem’ human, art that ‘seems’ human, friends that ‘seem’ human. None of this stuff is what we need. We need to create. We need to connect. We need to serve other people if we’re going to have any sort of place or belonging in this world. If humanity is going to thrive— and if art is going to thrive – there is only one place for it to go: the real world. Dear New York was founded upon the increasingly rare belief that humanity is pretty freaking amazing. This isn’t a perfect world. Every day the media brings us new examples of glaring injustice and senseless violence. We still have much work to do. But while we do the work, let us not forget how much love there is in this world. In New York City alone, in a single day, there are millions of stories of people taking care of each other. These stories don’t make the evening news, but they’re no less real. And when you sum it all up—the good and the bad – humanity is still worth fighting for. It’s still something to celebrate. Dear New York will close tomorrow at 8 pm, with a short choral performance by hundreds of children from @ypcofnyc .",[],https://www.instagram.com/p/DP-Et9nDXjH/,الشركة وعدت بالتسليم خلال أيام والآن مرّ أسابيع بلا نتائج,"Photo by Humans of New York on October 18, 2025. May be an image of crowd, terminal and text.",2025-10-18 23:59:45+00:00,15.311,1378,[]
humansofny,39268,366,"Dear New York might be the largest public art installation in decades. All of Grand Central Station has been transformed into a celebration of the diversity and humanity of New York City. As part of Dear New York, there is a Steinway Concert Grand Piano in the center of the main concourse. During the day the piano is played by some of the world’s most talented pianists, selected by @juilliardschool . But after 10 pm something magical happens. The piano is made available (through a submission process) to all sorts of New Yorkers. The only requirement: a fierce passion for playing piano. There were well over a thousand submissions and only a small amount could be selected. But among these are some beautiful, beautiful stories. Dear New York closes this Sunday. It has been such a magical run.",[],https://www.instagram.com/p/DPymS3rDeaR/,🙌🏾🙏🏾,,2025-10-14 13:03:31+00:00,39.634,800,[]
humansofny,39139,459,"I’d like to conclude with one final story that I think captures the spirit of Dear New York. During the final hour before Sunday’s closing ceremony there was no performer scheduled on the Steinway Concert Grand, so I loudly invited everyone in the crowd to take a turn. About six or seven random New Yorkers stepped forward, bravely volunteering for this once-in-a-lifetime opportunity to play the world’s finest piano for a huge crowd of people in Grand Central Station. It was such a joyous and communal experience. Each person played one song. Everyone was at-least-a-little nervous, but everyone nailed it under the brightest possible spotlight. Eventually one of the producers whispered that it was time to wrap up, but before I could tell everyone ‘Goodnight,’ I noticed the tiniest little hand being raised. It belonged to a six-year-old girl wearing a denim jacket, sparkly cowboy boots, and a small plastic princess crown. I knelt down and asked her name; she told me ‘Charlotte.’ I asked Charlotte if she wanted a chance to play, and she nodded with conviction. Her mother— half-proud, half-terrified—quickly told me that Charlotte had a keyboard at home, but had never played piano before. This small distinction did not bother Charlotte one bit. With the confidence of Liberace, she marched up to the Steinway, took a seat, and played piano for the very first time, in front of hundreds of people. I’m not sure anyone beyond the first row could hear it. But I am sure that everyone could feel it. Immediately following her performance, two hundred young singers from The Young People’s Chorus of New York City brought Dear New York to a close with an epic performance. (Video clip in carousel.) Thank you Charlotte, thank you @ypcofnyc, and thank you everyone, for being such an important part of Dear New York.",[],https://www.instagram.com/p/DQFN8Y5kfCS/,مرّ عليّ وقت طويل وما في أي نتيجة… الحذر واجب,"Photo by Humans of New York on October 21, 2025. May be an image of child and text.",2025-10-21 18:35:03+00:00,39.598,1823,[]
